Year,Alcohol(Litres) per capita over 15,Cigarettes
1995,11.4,2337.280238
1996,12.1,2207.864965
1997,12.5,2225.57854
1998,13.1,2240.010812
1999,13.7,2359.360723
2000,14.1,2312.349147
2001,14.3,2242.601583
2002,14.2,2270.552787
2003,13.3,2001.546166
2004,13.5,1665.081839
2005,13.4,1680.962078
2006,13.4,1664.20737
2007,13.2,1547.012057
2008,12.2,1383.176181
2009,11,1280.830136
2010,11.6,1147.651797
2011,11.7,1154.444167
2012,11.5,1055.739591
2013,10.6,900.9630529
2014,11,862.202507
2015,10.9,897.572934
