date, Unemployment Rate (%), Annual Change
31/12/1991,15.775,
31/12/1992,15.03,-0.75
31/12/1993,15.587,0.56
31/12/1994,14.57,-1.02
31/12/1995,11.983,-2.59
31/12/1996,11.717,-0.27
31/12/1997,10.203,-1.51
31/12/1998,7.699,-2.5
31/12/1999,5.804,-1.9
31/12/2000,4.318,-1.49
31/12/2001,3.683,-0.64
31/12/2002,4.215,0.53
31/12/2003,4.478,0.26
31/12/2004,4.491,0.01
31/12/2005,4.342,-0.15
31/12/2006,4.415,0.07
31/12/2007,4.98,0.57
31/12/2008,6.774,1.79
31/12/2009,12.609,5.84
31/12/2010,14.533,1.92
31/12/2011,15.353,0.82
31/12/2012,15.453,0.1
31/12/2013,13.745,-1.71
31/12/2014,11.856,-1.89
31/12/2015,9.904,-1.95
31/12/2016,8.366,-1.54
31/12/2017,6.71,-1.66
31/12/2018,5.691,-1.02
